ubigeo,departamento_folder,dpto,prov,dist,urbano_pdf,rustico_pdf,urb_min_soles_m2,urb_max_soles_m2,rus_min_soles_ha,rus_max_soles_ha
010101,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010101_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010101_RUSTICO2026.pdf,12.88,62.0,1508.0,41880.0
010102,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,ASUNCION,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010102_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010102_RUSTICO2026.pdf,7.0,26.0,1193.0,24860.0
010103,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,BALSAS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010103_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010103_RUSTICO2026.pdf,7.64,36.0,1193.0,24860.0
010104,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,CHETO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010104_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010104_RUSTICO2026.pdf,7.76,39.0,1193.0,24860.0
010105,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,CHILIQUIN,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010105_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010105_RUSTICO2026.pdf,6.83,20.0,1193.0,24860.0
010106,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010106_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010106_RUSTICO2026.pdf,6.75,19.0,1193.0,24860.0
010107,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,GRANADA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010107_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010107_RUSTICO2026.pdf,7.62,42.0,1130.0,23549.0
010108,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,HUANCAS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010108_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010108_RUSTICO2026.pdf,8.0,49.0,1193.0,24860.0
010109,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,LA JALCA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010109_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010109_RUSTICO2026.pdf,7.0,26.0,1193.0,24860.0
010110,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010110_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010110_RUSTICO2026.pdf,12.0,52.0,1508.0,41880.0
010111,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,LEVANTO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010111_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010111_RUSTICO2026.pdf,8.53,54.0,1193.0,24860.0
010112,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,MAGDALENA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010112_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010112_RUSTICO2026.pdf,7.76,39.0,1193.0,24860.0
010113,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010113_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010113_RUSTICO2026.pdf,7.0,33.0,1193.0,24860.0
010114,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010114_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010114_RUSTICO2026.pdf,7.83,40.0,1193.0,24860.0
010115,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010115_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010115_RUSTICO2026.pdf,7.57,35.0,1193.0,24860.0
010116,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,OLLEROS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010116_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010116_RUSTICO2026.pdf,6.91,22.0,1193.0,24860.0
010117,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,QUINJALCA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010117_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010117_RUSTICO2026.pdf,6.75,19.0,1193.0,24860.0
010118,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010118_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010118_RUSTICO2026.pdf,12.0,48.0,1508.0,41880.0
010119,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010119_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010119_RUSTICO2026.pdf,7.71,38.0,1193.0,24860.0
010120,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,SOLOCO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010120_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010120_RUSTICO2026.pdf,7.0,32.0,1193.0,24860.0
010121,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,SONCHE,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010121_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010121_RUSTICO2026.pdf,8.0,44.0,1193.0,24860.0
010201,01_AMAZONAS,AMAZONAS,BAGUA,BAGUA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010201_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010201_RUSTICO2026.pdf,7.9,105.0,,
010202,01_AMAZONAS,AMAZONAS,BAGUA,ARAMANGO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010202_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010202_RUSTICO2026.pdf,8.0,115.0,,
010203,01_AMAZONAS,AMAZONAS,BAGUA,COPALLIN,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010203_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010203_RUSTICO2026.pdf,7.0,96.0,,
010204,01_AMAZONAS,AMAZONAS,BAGUA,EL PARCO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010204_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010204_RUSTICO2026.pdf,5.0,58.0,,
010205,01_AMAZONAS,AMAZONAS,BAGUA,IMAZA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010205_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010205_RUSTICO2026.pdf,7.58,99.0,,
010206,01_AMAZONAS,AMAZONAS,BAGUA,LA PECA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010206_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010206_RUSTICO2026.pdf,7.9,105.0,,
010301,01_AMAZONAS,AMAZONAS,BONGARA,JUMBILLA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010301_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010301_RUSTICO2026.pdf,9.63,39.0,1181.0,32797.0
010302,01_AMAZONAS,AMAZONAS,BONGARA,CHISQUILLA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010302_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010302_RUSTICO2026.pdf,11.0,74.0,1181.0,32797.0
010303,01_AMAZONAS,AMAZONAS,BONGARA,CHURUJA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010303_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010303_RUSTICO2026.pdf,4.53,39.0,,
010304,01_AMAZONAS,AMAZONAS,BONGARA,COROSHA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010304_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010304_RUSTICO2026.pdf,11.0,74.0,1181.0,32797.0
010305,01_AMAZONAS,AMAZONAS,BONGARA,CUISPES,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010305_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010305_RUSTICO2026.pdf,9.89,37.0,1240.0,34445.0
010306,01_AMAZONAS,AMAZONAS,BONGARA,FLORIDA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010306_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010306_RUSTICO2026.pdf,10.0,50.0,1181.0,32797.0
010307,01_AMAZONAS,AMAZONAS,BONGARA,JAZAN,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010307_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010307_RUSTICO2026.pdf,11.0,66.0,1240.0,34445.0
010308,01_AMAZONAS,AMAZONAS,BONGARA,RECTA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010308_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010308_RUSTICO2026.pdf,9.76,35.0,1240.0,34445.0
010309,01_AMAZONAS,AMAZONAS,BONGARA,SAN CARLOS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010309_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010309_RUSTICO2026.pdf,10.0,44.0,1240.0,34445.0
010310,01_AMAZONAS,AMAZONAS,BONGARA,SHIPASBAMBA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010310_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010310_RUSTICO2026.pdf,4.0,35.0,,
010311,01_AMAZONAS,AMAZONAS,BONGARA,VALERA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010311_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010311_RUSTICO2026.pdf,4.0,28.0,,
010312,01_AMAZONAS,AMAZONAS,BONGARA,YAMBRASBAMBA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010312_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010312_RUSTICO2026.pdf,5.6,58.0,,
010401,01_AMAZONAS,AMAZONAS,CONDORCANQUI,NIEVA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010401_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010401_RUSTICO2026.pdf,5.66,59.0,,
010402,01_AMAZONAS,AMAZONAS,CONDORCANQUI,EL CENEPA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010402_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010402_RUSTICO2026.pdf,4.84,42.0,,
010403,01_AMAZONAS,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010403_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010403_RUSTICO2026.pdf,4.76,41.0,,
010501,01_AMAZONAS,AMAZONAS,LUYA,LAMUD,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010501_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010501_RUSTICO2026.pdf,9.0,48.0,1086.0,30171.0
010502,01_AMAZONAS,AMAZONAS,LUYA,CAMPORREDONDO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010502_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010502_RUSTICO2026.pdf,8.0,25.0,1121.0,31152.0
010503,01_AMAZONAS,AMAZONAS,LUYA,COCABAMBA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010503_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010503_RUSTICO2026.pdf,8.0,21.0,1121.0,31152.0
010504,01_AMAZONAS,AMAZONAS,LUYA,COLCAMAR,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010504_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010504_RUSTICO2026.pdf,8.0,23.0,1121.0,31152.0
010505,01_AMAZONAS,AMAZONAS,LUYA,CONILA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010505_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010505_RUSTICO2026.pdf,9.0,35.0,1121.0,31152.0
010506,01_AMAZONAS,AMAZONAS,LUYA,INGUILPATA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010506_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010506_RUSTICO2026.pdf,8.71,29.0,1121.0,31152.0
010507,01_AMAZONAS,AMAZONAS,LUYA,LONGUITA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010507_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010507_RUSTICO2026.pdf,8.71,29.0,1121.0,31152.0
010508,01_AMAZONAS,AMAZONAS,LUYA,LONYA CHICO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010508_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010508_RUSTICO2026.pdf,8.89,32.0,1121.0,31152.0
010509,01_AMAZONAS,AMAZONAS,LUYA,LUYA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010509_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010509_RUSTICO2026.pdf,9.0,43.0,1086.0,30171.0
010510,01_AMAZONAS,AMAZONAS,LUYA,LUYA VIEJO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010510_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010510_RUSTICO2026.pdf,8.7,29.0,1121.0,31152.0
010511,01_AMAZONAS,AMAZONAS,LUYA,MARIA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010511_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010511_RUSTICO2026.pdf,8.0,22.0,1121.0,31152.0
010512,01_AMAZONAS,AMAZONAS,LUYA,OCALLI,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010512_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010512_RUSTICO2026.pdf,8.0,23.0,1121.0,31152.0
010513,01_AMAZONAS,AMAZONAS,LUYA,OCUMAL,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010513_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010513_RUSTICO2026.pdf,8.0,19.0,1121.0,31152.0
010514,01_AMAZONAS,AMAZONAS,LUYA,PISUQUIA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010514_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010514_RUSTICO2026.pdf,8.0,19.0,1121.0,31152.0
010515,01_AMAZONAS,AMAZONAS,LUYA,PROVIDENCIA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010515_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010515_RUSTICO2026.pdf,8.0,19.0,1121.0,31152.0
010516,01_AMAZONAS,AMAZONAS,LUYA,SAN CRISTOBAL,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010516_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010516_RUSTICO2026.pdf,9.0,39.0,1121.0,31152.0
010517,01_AMAZONAS,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010517_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010517_RUSTICO2026.pdf,8.83,31.0,1121.0,31152.0
010518,01_AMAZONAS,AMAZONAS,LUYA,SAN JERONIMO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010518_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010518_RUSTICO2026.pdf,9.0,38.0,1121.0,31152.0
010519,01_AMAZONAS,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010519_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010519_RUSTICO2026.pdf,8.92,33.0,1121.0,31152.0
010520,01_AMAZONAS,AMAZONAS,LUYA,SANTA CATALINA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010520_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010520_RUSTICO2026.pdf,8.0,30.0,1039.0,28857.0
010521,01_AMAZONAS,AMAZONAS,LUYA,SANTO TOMAS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010521_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010521_RUSTICO2026.pdf,9.0,35.0,1121.0,31152.0
010522,01_AMAZONAS,AMAZONAS,LUYA,TINGO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010522_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010522_RUSTICO2026.pdf,9.0,48.0,1086.0,30171.0
010523,01_AMAZONAS,AMAZONAS,LUYA,TRITA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010523_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010523_RUSTICO2026.pdf,8.87,42.0,1039.0,28857.0
010601,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010601_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010601_RUSTICO2026.pdf,7.73,112.0,,
010602,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010602_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010602_RUSTICO2026.pdf,4.0,46.0,,
010603,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010603_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010603_RUSTICO2026.pdf,4.99,62.0,,
010604,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010604_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010604_RUSTICO2026.pdf,5.78,74.0,,
010605,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010605_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010605_RUSTICO2026.pdf,4.67,56.0,,
010606,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010606_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010606_RUSTICO2026.pdf,5.0,72.0,,
010607,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010607_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010607_RUSTICO2026.pdf,7.0,103.0,,
010608,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010608_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010608_RUSTICO2026.pdf,4.66,52.0,,
010609,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010609_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010609_RUSTICO2026.pdf,5.7,76.0,,
010610,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010610_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010610_RUSTICO2026.pdf,4.99,62.0,,
010611,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010611_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010611_RUSTICO2026.pdf,4.0,52.0,,
010612,01_AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010612_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010612_RUSTICO2026.pdf,3.83,35.0,,
010701,01_AMAZONAS,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010701_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010701_RUSTICO2026.pdf,8.5,115.0,,
010702,01_AMAZONAS,AMAZONAS,UTCUBAMBA,CAJARURO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010702_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010702_RUSTICO2026.pdf,5.0,58.0,,
010703,01_AMAZONAS,AMAZONAS,UTCUBAMBA,CUMBA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010703_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010703_RUSTICO2026.pdf,6.7,79.0,,
010704,01_AMAZONAS,AMAZONAS,UTCUBAMBA,EL MILAGRO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010704_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010704_RUSTICO2026.pdf,6.96,84.0,,
010705,01_AMAZONAS,AMAZONAS,UTCUBAMBA,JAMALCA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010705_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010705_RUSTICO2026.pdf,3.7,28.0,,
010706,01_AMAZONAS,AMAZONAS,UTCUBAMBA,LONYA GRANDE,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010706_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010706_RUSTICO2026.pdf,4.57,37.0,,
010707,01_AMAZONAS,AMAZONAS,UTCUBAMBA,YAMON,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010707_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010707_RUSTICO2026.pdf,3.65,33.0,,
020101,02_ANCASH,ANCASH,HUARAZ,HUARAZ,E:\2026\mef_scraper\mef_listados_pdfs\02_ANCASH\URBANO\020101_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\02_ANCASH\RUSTICO\020101_RUSTICO2026.pdf,11.0,56.0,1282.0,35615.0
